05/15/2018 08:28:42: INFO: daemon.py: Running REST server
05/15/2018 08:28:42: INFO: server.py: server index was accessed
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: miner.py: mining tweets of user TP9three
05/15/2018 08:28:42: INFO: miner.py: mining user details of TP9three
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
05/15/2018 08:28:42: INFO: server.py: tweets request received
